feature_name,mean_abs_shap,native_gain,shap_share_pct,gain_share_pct,is_engineered
fe_stat_amt_to_card1_addr1_mean_ratio,0.017294815778087193,38495.3507809937,0.2827172490556151,0.3730477154707551,true
V317,0.01703135931869024,44611.687514305115,0.2784105431385153,0.432319430083581,false
C10,0.016966233827609832,56944.95366001129,0.27734594089481995,0.5518376749262828,false
dist2,0.016505284830562586,11043.9724111557,0.2698108370768737,0.10702405859716992,false
V283,0.01627140887773014,44352.60484313965,0.26598768181153537,0.42980873212563286,false
fe_time_diurnal_hour,0.01619210803067643,26952.126356065273,0.26469135592900067,0.26118554475345757,true
fe_time_cos_hour,0.016076569891785897,30575.754451274872,0.2628026613509686,0.29630111469134734,true
V94,0.015965002234076875,10480.74898147583,0.26097887197525066,0.10156601731480769,false
id_38,0.015947774823157915,3800.960750579834,0.2606972565891227,0.03683405127711922,false
fe_miss_total_count,0.0158188541965735,32637.098141372204,0.25858979933938125,0.31627702187987294,true
DeviceType,0.015525818125273696,7361.696720123291,0.2537995573954969,0.07134015115369352,false
V2,0.015178467624653493,3086.6241188049316,0.2481214409441001,0.029911614069655947,false
V139,0.014579527907011365,13397.511021614075,0.23833061162885097,0.12983154532196156,false
fe_lag_amt_diff_1,0.01450860202912357,20649.68632364273,0.23717119083243532,0.20011035493735452,true
fe_roll_card_amt_mean_24h,0.014086698025808642,23628.129759013653,0.23027435303356864,0.22897362015463302,true
V128,0.01396705399289902,36250.82908821106,0.22831853966821408,0.3512966813113126,false
D6,0.01385712283908861,11555.186433315277,0.2265215021172176,0.11197809120667153,false
V281,0.013547929242326836,18858.290271759033,0.22146713413644645,0.18275043507429167,false
fe_velo_time_since_prev_tx,0.013414536252816502,34414.21835613251,0.2192865674555658,0.33349859858415765,true
id_15,0.013355367193810338,2765.31893157959,0.21831933462660283,0.026797935050461335,false
V316,0.013258682984745038,2458.1161239147186,0.21673884403538807,0.023820918261146507,false
V285,0.013187639135954898,30290.818613052368,0.21557749477616556,0.2935398808969243,false
V201,0.013169876297151523,4799.70467376709,0.2152871267846041,0.04651260027917842,false
fe_nov_email_match,0.013051619831579193,39428.03575897217,0.21335399589390044,0.38208610564592776,true
fe_roll_card_amt_sum_24h,0.012985517279036435,22237.94419169426,0.21227342168887645,0.21550171927706088,true
